emotionclass,attacktime,zerocross,rolloff,brightness,centroid,roughness,regularity,pitch
2,0.036817708,877.9766861,2883.823255,0.321395564,1718.100044,4.427555858,0.10209084,387.275176
2,0.026046875,682.5062448,2844.524095,0.318239186,1654.059586,2.271799509,0.150433758,331.1085272
2,0.028776374,654.3380516,2793.872944,0.30683877,1599.276627,12.48780997,0.168527096,314.7865228
2,0.027285714,706.1115737,2818.061771,0.293747848,1606.336648,8.07198765,0.113599187,308.5125844
2,0.027593972,625.3538718,2744.636631,0.28474035,1538.395029,20.73530164,0.116074997,268.8064004
2,0.025200711,820.0583333,2905.595703,0.32712809,1681.210655,5.076142649,0.102342373,387.7762339
2,0.104796196,1363.014155,4684.944262,0.496883206,2561.54443,26.82245808,0.088967943,446.4906629
2,0.032155934,1388.484596,4655.7296,0.498908192,2526.779044,61.62410164,0.203493713,826.2882025
2,0.032314153,1124.171524,4217.296133,0.43422098,2282.438124,50.44977712,0.206119169,658.6626236
2,0.027638186,1177.818485,4304.20613,0.430287372,2335.783202,74.58578132,0.220093502,690.08079
2,0.040282095,1113.930058,4162.693198,0.412924213,2252.600394,37.15022783,0.120826954,628.6123203
2,0.02706746,1216.308333,4276.005859,0.463115143,2374.767294,65.41068596,0.17614634,816.2158782
1,0.255737179,1068.68443,3571.553112,0.396853031,2104.78461,0.301994767,0.051048862,554.9168568
1,0.113589962,1310.649459,3653.791112,0.448968002,2180.669378,1.073745702,0.082622852,995.7055088
2,0.037181753,864.4129892,3337.872736,0.355534715,1995.206253,0.947151691,0.110342165,441.4467532
2,0.050166667,874.8709409,3352.216252,0.36159091,1997.719758,4.346166784,0.169384663,444.1304932
2,0.081848958,976.5778518,3496.47104,0.385060419,2042.840185,0.436231616,0.068476298,379.4525177
2,0.058894413,1341.783333,3775.556641,0.47055315,2276.978098,2.599731365,0.1375902,1132.431204
1,0.021164553,1014.379684,3327.246094,0.401692174,1825.491824,15.06386933,0.266905101,299.9159164
1,0.021850758,1217.185679,3506.218776,0.450984168,1982.400576,26.01256688,0.326970729,341.872625
1,0.018945833,1094.338052,3278.449599,0.407588631,1877.828537,8.693101814,0.148617933,542.0735053
1,0.02007197,1085.087427,3390.543688,0.422088871,1896.933058,11.69129743,0.105176019,949.1168322
1,0.027475575,968.4096586,3199.57002,0.384896435,1760.774746,2.300957554,0.03610622,113.1104058
1,0.037295343,1219.658333,3498.330078,0.420140772,1975.957745,18.58498306,0.110749298,1269.424889
1,0.037485997,719.050791,4602.862406,0.33682817,2136.885728,2.022256678,0.073378837,388.0716561
1,0.022998971,693.4304746,4007.46123,0.314436566,1919.264213,3.190730735,0.072067493,334.0320385
1,0.024500727,655.7035803,3790.317964,0.294767352,1851.670931,2.821070669,0.082548029,380.2553551
1,0.02249485,808.9758535,4303.425531,0.342562014,2047.363898,2.415178371,0.068275019,410.7066602
1,0.024192708,725.3955037,4165.981474,0.331244149,2011.050823,5.340356516,0.092989121,383.4952975
